영화명,개봉일,날짜,관객수,누적관객,스크린수,상영횟수,순위
하얼빈,2024-12-24,2025-01-01,340484,3095720,1406,6323,1
보고타: 마지막 기회의 땅,2024-12-31,2025-01-01,93154,194095,979,3232,2
소방관,2024-12-04,2025-01-01,80830,3398126,772,1934,3
수퍼 소닉3,2025-01-01,2025-01-01,75916,97373,766,1530,4
뽀로로 극장판 바닷속 대모험,2025-01-01,2025-01-01,58882,92837,731,1348,5
무파사: 라이온 킹,2024-12-18,2025-01-01,41753,698398,609,898,6
모아나 2,2024-11-27,2025-01-01,35255,3408070,570,880,7
극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,2025-01-01,28292,596017,562,863,8
위키드,2024-11-20,2025-01-01,20527,2079690,329,462,9
시빌 워: 분열의 시대,2024-12-31,2025-01-01,17822,40589,562,1035,10
하얼빈,2024-12-24,2025-01-02,92862,3188582,1389,5932,1
보고타: 마지막 기회의 땅,2024-12-31,2025-01-02,25303,219398,915,2994,2
소방관,2024-12-04,2025-01-02,24580,3422706,716,1917,3
뽀로로 극장판 바닷속 대모험,2025-01-01,2025-01-02,17857,110694,602,912,4
수퍼 소닉3,2025-01-01,2025-01-02,11618,108991,640,1208,5
무파사: 라이온 킹,2024-12-18,2025-01-02,8664,707062,514,689,6
극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,2025-01-02,8463,604480,484,718,7
시빌 워: 분열의 시대,2024-12-31,2025-01-02,8095,48684,578,1111,8
모아나 2,2024-11-27,2025-01-02,7061,3415131,455,634,9
위키드,2024-11-20,2025-01-02,6632,2086322,351,486,10
하얼빈,2024-12-24,2025-01-03,91398,3279980,1425,6212,1
소방관,2024-12-04,2025-01-03,26722,3449428,821,2127,2
보고타: 마지막 기회의 땅,2024-12-31,2025-01-03,21203,240601,833,2783,3
뽀로로 극장판 바닷속 대모험,2025-01-01,2025-01-03,17142,127836,656,1012,4
수퍼 소닉3,2025-01-01,2025-01-03,11144,120135,686,1277,5
무파사: 라이온 킹,2024-12-18,2025-01-03,8896,715958,544,762,6
극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,2025-01-03,8568,613048,498,732,7
시빌 워: 분열의 시대,2024-12-31,2025-01-03,8242,56926,575,1085,8
모아나 2,2024-11-27,2025-01-03,7494,3422625,464,658,9
위키드,2024-11-20,2025-01-03,7486,2093808,345,503,10
하얼빈,2024-12-24,2025-01-04,218542,3498522,1423,6378,1
소방관,2024-12-04,2025-01-04,55117,3504545,884,2157,2
보고타: 마지막 기회의 땅,2024-12-31,2025-01-04,45091,285692,779,2577,3
수퍼 소닉3,2025-01-01,2025-01-04,42122,162257,882,1917,4
뽀로로 극장판 바닷속 대모험,2025-01-01,2025-01-04,34876,162712,791,1495,5
